Date,Open,High,Low,Close*,Adj Close**,Volume
28-Dec-18,2498.77,2520.27,2472.89,2485.74,2485.74,3702620000
27-Dec-18,2442.5,2489.1,2397.94,2488.83,2488.83,4096610000
26-Dec-18,2363.12,2467.76,2346.58,2467.7,2467.7,4233990000
24-Dec-18,2400.56,2410.34,2351.1,2351.1,2351.1,2613930000
21-Dec-18,2465.38,2504.41,2408.55,2416.62,2416.62,7609010000
20-Dec-18,2496.77,2509.63,2441.18,2467.42,2467.42,5585780000
19-Dec-18,2547.05,2585.29,2488.96,2506.96,2506.96,5127940000
18-Dec-18,2559.9,2573.99,2528.71,2546.16,2546.16,4470880000
17-Dec-18,2590.75,2601.13,2530.54,2545.94,2545.94,4616350000
14-Dec-18,2629.68,2635.07,2593.84,2599.95,2599.95,4035020000
13-Dec-18,2658.7,2670.19,2637.27,2650.54,2650.54,3927720000
12-Dec-18,2658.23,2685.44,2650.26,2651.07,2651.07,3958890000
11-Dec-18,2664.44,2674.35,2621.3,2636.78,2636.78,3905870000
10-Dec-18,2630.86,2647.51,2583.23,2637.72,2637.72,4151030000
7-Dec-18,2691.26,2708.54,2623.14,2633.08,2633.08,4216690000
6-Dec-18,2663.51,2696.15,2621.53,2695.95,2695.95,5141470000
4-Dec-18,2782.43,2785.93,2697.18,2700.06,2700.06,4499840000
3-Dec-18,2790.5,2800.18,2773.38,2790.37,2790.37,4186060000
30-Nov-18,2737.76,2760.88,2732.76,2760.17,2760.17,4658580000
29-Nov-18,2736.97,2753.75,2722.94,2737.8,2737.8,3560770000
28-Nov-18,2691.45,2744,2684.38,2743.79,2743.79,3951670000
27-Nov-18,2663.75,2682.53,2655.89,2682.17,2682.17,3485220000
26-Nov-18,2649.97,2674.35,2649.97,2673.45,2673.45,3443950000
23-Nov-18,2633.36,2647.55,2631.09,2632.56,2632.56,1651650000
21-Nov-18,2657.74,2670.73,2649.82,2649.93,2649.93,3233550000
20-Nov-18,2654.6,2669.44,2631.52,2641.89,2641.89,4357900000
19-Nov-18,2730.74,2733.16,2681.09,2690.73,2690.73,3772900000
16-Nov-18,2718.54,2746.75,2712.16,2736.27,2736.27,3975180000
15-Nov-18,2693.52,2735.38,2670.75,2730.2,2730.2,4179140000
14-Nov-18,2737.9,2746.8,2685.75,2701.58,2701.58,4402370000
13-Nov-18,2730.05,2754.6,2714.98,2722.18,2722.18,4091440000
12-Nov-18,2773.93,2775.99,2722,2726.22,2726.22,3670930000
9-Nov-18,2794.1,2794.1,2764.24,2781.01,2781.01,4019090000
